date,entry_time,exit_time,direction,outcome,or_high,or_low,breakout_time,breakout_price,retest_price,entry_price,target_price,stop_price,rsi,rel_volume,price_to_vwap,price_to_ema9,or_range_pct,macd,macd_signal,adx,hammer,shooting_star,features
2024-12-23,2024-12-23 10:15:00,,LONG,-1,520.73,520.57,2024-12-23 09:38:00,520.82,520.45,520.45,523.05225,519.1488750000001,42.27840913392424,2.13894494090516,0.00013720779447901066,-0.00022987874218916016,0.030735539888961744,-0.03643026132988325,-0.028306660218327652,13.51355986987272,False,False,"[np.float64(1.920344125672102e-05), np.float64(0.0019203441256655728), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.42278409133924244), np.float64(0.7129816469683866), np.float64(-0.03643026132988325), np.float64(-0.028306660218327652), np.float64(0.1351355986987272), 0, 0]"
2024-12-23,2024-12-23 10:21:00,,SHORT,1,520.73,520.57,2024-12-23 09:54:00,520.53,520.34,520.34,517.7383,521.64085,38.64304319337339,1.5647819737116628,-8.436079594320578e-05,-0.00028414872503390587,0.030735539888961744,-0.06097342360328639,-0.04093408601465905,15.906480136460036,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.00019217834150087043), np.float64(0.026907036189982907), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3864304319337339), np.float64(0.5215939912372209), np.float64(-0.06097342360328639), np.float64(-0.04093408601465905), np.float64(0.15906480136460036), 0, 0]"
2024-12-24,2024-12-24 10:20:00,,LONG,-1,523.85,523.56,2024-12-24 09:47:00,523.99,523.99,523.99,526.6099499999999,522.680025,52.71778915335789,1.354656632173095,4.771311060847161e-05,-3.510927481520376e-05,0.055390022156023636,0.07237993676903898,0.10992588361377521,16.32656904451545,False,False,"[np.float64(1.907850806071032e-05), np.float64(0.0019078508060652304), np.float64(3.816211265461611e-05), np.float64(0.007632713811410394), np.float64(0.0), np.float64(0.0), np.float64(-1.908834084141109e-05), np.float64(0.0019088705213108033), np.float64(0.0), np.float64(0.0), np.float64(0.527177891533579), np.float64(0.451552210724365), np.float64(0.07237993676903898), np.float64(0.10992588361377521), np.float64(0.1632656904451545), 0, 0]"
2024-12-24,2024-12-24 11:52:00,,SHORT,-1,523.85,523.56,2024-12-24 11:46:00,523.34,523.62,523.62,521.0019,524.92905,44.18445055544265,3.2547699214365884,-1.6805798305874475e-05,3.9476563640228335e-07,0.055390022156023636,-0.1037521945042954,-0.08825637401998475,32.40224394875923,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.00011464822104167993), np.float64(0.01146482210416659), np.float64(-0.00011463726857585677), np.float64(0.011465041178595804), np.float64(0.0), np.float64(0.0), np.float64(0.00021008804599031983), np.float64(0.021008804599020922), np.float64(0.4418445055544265), 1, np.float64(-0.1037521945042954), np.float64(-0.08825637401998475), np.float64(0.3240224394875923), 0, 0]"
2024-12-26,2024-12-26 10:38:00,,LONG,-1,528.72,528.19,2024-12-26 09:39:00,528.79,527.71,527.71,530.3485499999999,526.3907250000001,63.42792306396323,1.9834409971795106,1.3454540424229222e-05,0.00047591560784732145,0.10034267971752071,0.02972561524120465,-0.03839345411710611,13.86852572149974,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(1.8961659524530106e-05), np.float64(0.0018961659524424335), np.float64(1.896094046260899e-05), np.float64(0.01137764293162898), np.float64(0.00015168177164315289), np.float64(0.015168177164317039), np.float64(-0.00011372898383166241), np.float64(0.011374191958457491), np.float64(0.6342792306396323), np.float64(0.6611469990598369), np.float64(0.02972561524120465), np.float64(-0.03839345411710611), np.float64(0.1386852572149974), 0, 0]"
2024-12-26,2024-12-26 09:53:00,,SHORT,1,528.72,528.19,2024-12-26 09:51:00,527.9,527.68,527.68,525.0415999999999,528.9992,31.47342642523995,3.0284790225496363,-7.598725157531572e-05,-0.0010187573615799694,0.10034267971752071,-0.12640535630805516,-0.04236317236279293,19.282746796068782,False,False,"[np.float64(-5.675368898971911e-05), np.float64(0.00567569101537596), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.00020832938770098952), np.float64(0.020837279787841192), np.float64(3.788022273565339e-05), np.float64(0.003788022273567523), np.float64(0.3147342642523995), 1, np.float64(-0.12640535630805516), np.float64(-0.04236317236279293), np.float64(0.1928274679606878), 0, 0]"
2024-12-27,2024-12-27 11:50:00,,LONG,1,527.84,527.69,2024-12-27 10:54:00,527.86,527.97,527.97,530.6098499999999,526.650075,59.19145601203574,4.087000505816895,-7.576182301516354e-07,0.00013821281661496876,0.028425780287664588,0.04554024643334742,0.028760447891487205,12.064123731210795,False,False,"[np.float64(3.789170550572152e-05), np.float64(0.0037891705505630345), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5919145601203574), 1, np.float64(0.04554024643334742), np.float64(0.028760447891487205), np.float64(0.12064123731210795), 0, 0]"
2024-12-27,2024-12-27 10:21:00,,SHORT,-1,527.84,527.69,2024-12-27 09:51:00,527.6,527.61,527.61,524.97195,528.929025,45.68787107800287,3.0506773707977923,-0.0001578568460126606,-0.00010730875783815375,0.028425780287664588,-0.027373016201295286,-0.041280517162131734,13.33346356838415,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3.790175864182288e-05), np.float64(0.00947543966041317), np.float64(0.0), np.float64(0.0), np.float64(0.45687871078002873), 1, np.float64(-0.027373016201295286), np.float64(-0.041280517162131734), np.float64(0.13333463568384152), 0, 0]"
2024-12-30,2024-12-30 09:50:00,,LONG,1,521.21,520.94,2024-12-30 09:37:00,521.3,521.17,521.17,523.7758499999999,519.867075,48.74018379537803,2.531566315350099,1.7269135641484468e-05,8.665240013439046e-05,0.05182938534187848,-0.0678521421697269,-0.09624303251990196,28.72695625720823,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4874018379537803), np.float64(0.8438554384500331), np.float64(-0.0678521421697269), np.float64(-0.09624303251990196), np.float64(0.2872695625720823), 0, 0]"
2024-12-30,2024-12-30 10:14:00,,SHORT,1,521.21,520.94,2024-12-30 09:47:00,520.93,521.46,521.46,518.8527,522.76365,56.399985746230705,2.636553332515036,-0.0001587597412906483,4.6304701221133726e-05,0.05182938534187848,0.07533462385003986,0.0419836093590465,14.553486135895227,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-5.751313216517673e-05), np.float64(0.005751644011574745), np.float64(0.5639998574623071), np.float64(0.8788511108383453), np.float64(0.07533462385003986), np.float64(0.0419836093590465), np.float64(0.14553486135895227), 0, 0]"
